Datetime,Prévision J-1,Prévision J,Consommation
2023-01-02 16:30:00,52900.0,51700.0,51040.0
2023-01-02 16:45:00,53150.0,52000.0,51002.0
2023-01-02 17:00:00,53400.0,52300.0,51584.0
2023-01-02 17:15:00,54750.0,53700.0,52470.0
2023-01-02 17:30:00,56100.0,55100.0,53849.0
2023-01-02 17:45:00,57250.0,56300.0,55103.0
2023-01-02 18:00:00,58400.0,57500.0,56037.0
2023-01-02 18:15:00,59000.0,58150.0,56451.0
2023-01-02 18:30:00,59600.0,58800.0,57403.0
2023-01-02 18:45:00,60050.0,59300.0,58384.0
2023-01-02 19:00:00,60500.0,59800.0,59168.0
2023-01-02 19:15:00,59900.0,59250.0,58622.0
2023-01-02 19:30:00,59300.0,58700.0,58213.0
2023-01-02 19:45:00,58500.0,57900.0,57496.0
2023-01-02 20:00:00,57700.0,57100.0,56819.0
2023-01-02 20:15:00,57150.0,56600.0,55712.0
2023-01-02 20:30:00,56600.0,56100.0,54708.0
2023-01-02 20:45:00,55550.0,55100.0,53782.0
2023-01-02 21:00:00,54500.0,54100.0,53074.0
2023-01-02 21:15:00,53700.0,53300.0,52373.0
2023-01-02 21:30:00,52900.0,52500.0,51610.0
2023-01-02 21:45:00,52250.0,51900.0,51031.0
2023-01-02 22:00:00,51600.0,51300.0,50752.0
2023-01-02 22:15:00,52000.0,51700.0,50930.0
2023-01-02 22:30:00,52400.0,52100.0,51415.0
2023-01-02 22:45:00,53200.0,52950.0,52732.0
2023-01-02 23:00:00,54000.0,53800.0,52342.0
2023-01-02 23:15:00,53800.0,53650.0,52134.0
2023-01-02 23:30:00,53600.0,53500.0,51924.0
2023-01-02 23:45:00,52950.0,52900.0,52101.0
2023-01-03 00:00:00,52300.0,51300.0,51351.0
2023-01-03 00:15:00,51500.0,50500.0,51130.0
2023-01-03 00:30:00,50700.0,49700.0,49763.0
2023-01-03 00:45:00,49950.0,48900.0,48436.0
2023-01-03 01:00:00,49200.0,48100.0,48106.0
2023-01-03 01:15:00,49500.0,48500.0,48525.0
2023-01-03 01:30:00,49800.0,48900.0,48215.0
2023-01-03 01:45:00,50000.0,48800.0,48598.0
2023-01-03 02:00:00,50200.0,48700.0,48308.0
2023-01-03 02:15:00,49750.0,48350.0,48914.0
2023-01-03 02:30:00,49300.0,48000.0,47921.0
2023-01-03 02:45:00,48600.0,47350.0,47414.0
2023-01-03 03:00:00,47900.0,46700.0,46695.0
2023-01-03 03:15:00,47450.0,46200.0,46472.0
2023-01-03 03:30:00,47000.0,45700.0,45754.0
2023-01-03 03:45:00,46850.0,45450.0,45445.0
2023-01-03 04:00:00,46700.0,45200.0,45262.0
2023-01-03 04:15:00,46650.0,45050.0,45125.0
2023-01-03 04:30:00,46600.0,44900.0,44912.0
2023-01-03 04:45:00,46800.0,45300.0,44864.0
2023-01-03 05:00:00,47000.0,45700.0,45631.0
2023-01-03 05:15:00,47750.0,46550.0,46834.0
2023-01-03 05:30:00,48500.0,47400.0,47393.0
2023-01-03 05:45:00,49450.0,48450.0,48026.0
2023-01-03 06:00:00,50400.0,49500.0,49209.0
2023-01-03 06:15:00,52350.0,51000.0,51244.0
2023-01-03 06:30:00,54300.0,52500.0,52461.0
2023-01-03 06:45:00,55950.0,53950.0,53961.0
2023-01-03 07:00:00,57600.0,55400.0,55434.0
2023-01-03 07:15:00,59250.0,56650.0,56636.0
2023-01-03 07:30:00,60900.0,57900.0,57911.0
2023-01-03 07:45:00,61750.0,58750.0,58777.0
2023-01-03 08:00:00,62600.0,59600.0,59597.0
2023-01-03 08:15:00,62800.0,60000.0,60089.0
2023-01-03 08:30:00,63000.0,60400.0,60534.0
2023-01-03 08:45:00,62850.0,60500.0,60634.0
2023-01-03 09:00:00,62700.0,60600.0,60627.0
2023-01-03 09:15:00,62700.0,60650.0,60394.0
2023-01-03 09:30:00,62700.0,60700.0,60697.0
2023-01-03 09:45:00,62550.0,60750.0,60775.0
2023-01-03 10:00:00,62400.0,60800.0,60844.0
2023-01-03 10:15:00,62350.0,60700.0,60889.0
2023-01-03 10:30:00,62300.0,60600.0,60577.0
2023-01-03 10:45:00,62250.0,60500.0,60637.0
2023-01-03 11:00:00,62200.0,60400.0,60504.0
2023-01-03 11:15:00,62350.0,60500.0,60659.0
2023-01-03 11:30:00,62500.0,60600.0,60617.0
2023-01-03 11:45:00,62550.0,60900.0,60785.0
2023-01-03 12:00:00,62600.0,61200.0,60823.0
2023-01-03 12:15:00,61800.0,60400.0,60349.0
2023-01-03 12:30:00,61000.0,59600.0,59806.0
2023-01-03 12:45:00,59800.0,58400.0,59179.0
2023-01-03 13:00:00,58600.0,57200.0,58508.0
2023-01-03 13:15:00,58400.0,57050.0,58160.0
2023-01-03 13:30:00,58200.0,56900.0,57574.0
2023-01-03 13:45:00,58300.0,57100.0,57698.0
2023-01-03 14:00:00,58400.0,57300.0,57538.0
2023-01-03 14:15:00,58100.0,57050.0,57802.0
2023-01-03 14:30:00,57800.0,56800.0,57370.0
2023-01-03 14:45:00,57450.0,56550.0,57627.0
2023-01-03 15:00:00,57100.0,56300.0,57064.0
2023-01-03 15:15:00,56900.0,56150.0,57225.0
2023-01-03 15:30:00,56700.0,56000.0,56604.0
2023-01-03 15:45:00,56500.0,55900.0,56360.0
2023-01-03 16:00:00,56300.0,55800.0,55702.0
2023-01-03 16:15:00,56150.0,55700.0,56062.0
2023-01-03 16:30:00,56000.0,55600.0,55811.0
2023-01-03 16:45:00,56450.0,56050.0,55966.0
